Consumption (kWh), Start, End
0.06200000000000000000, 2024-03-14T00:00:00+00:00, 2024-03-14T00:30:00+00:00
0.04700000000000000000, 2024-03-14T00:30:00+00:00, 2024-03-14T01:00:00+00:00
0.04500000000000000000, 2024-03-14T01:00:00+00:00, 2024-03-14T01:30:00+00:00
0.54500000000000000000, 2024-03-14T01:30:00+00:00, 2024-03-14T02:00:00+00:00
0.13600000000000000000, 2024-03-14T02:00:00+00:00, 2024-03-14T02:30:00+00:00
0.64900000000000000000, 2024-03-14T02:30:00+00:00, 2024-03-14T03:00:00+00:00
0.04800000000000000000, 2024-03-14T03:00:00+00:00, 2024-03-14T03:30:00+00:00
0.03400000000000000000, 2024-03-14T03:30:00+00:00, 2024-03-14T04:00:00+00:00
0.06400000000000000000, 2024-03-14T04:00:00+00:00, 2024-03-14T04:30:00+00:00
0.03000000000000000000, 2024-03-14T04:30:00+00:00, 2024-03-14T05:00:00+00:00
0.05200000000000000000, 2024-03-14T05:00:00+00:00, 2024-03-14T05:30:00+00:00
0.05000000000000000000, 2024-03-14T05:30:00+00:00, 2024-03-14T06:00:00+00:00
0.03000000000000000000, 2024-03-14T06:00:00+00:00, 2024-03-14T06:30:00+00:00
0.06400000000000000000, 2024-03-14T06:30:00+00:00, 2024-03-14T07:00:00+00:00
0.03200000000000000000, 2024-03-14T07:00:00+00:00, 2024-03-14T07:30:00+00:00
0.09500000000000000000, 2024-03-14T07:30:00+00:00, 2024-03-14T08:00:00+00:00
0.09600000000000000000, 2024-03-14T08:00:00+00:00, 2024-03-14T08:30:00+00:00
0.02900000000000000000, 2024-03-14T08:30:00+00:00, 2024-03-14T09:00:00+00:00
0.16200000000000000000, 2024-03-14T09:00:00+00:00, 2024-03-14T09:30:00+00:00
0.11600000000000000000, 2024-03-14T09:30:00+00:00, 2024-03-14T10:00:00+00:00
0.06400000000000000000, 2024-03-14T10:00:00+00:00, 2024-03-14T10:30:00+00:00
0.08700000000000000000, 2024-03-14T10:30:00+00:00, 2024-03-14T11:00:00+00:00
0.12000000000000000000, 2024-03-14T11:00:00+00:00, 2024-03-14T11:30:00+00:00
0.06800000000000000000, 2024-03-14T11:30:00+00:00, 2024-03-14T12:00:00+00:00
0.09100000000000000000, 2024-03-14T12:00:00+00:00, 2024-03-14T12:30:00+00:00
0.09700000000000000000, 2024-03-14T12:30:00+00:00, 2024-03-14T13:00:00+00:00
0.19000000000000000000, 2024-03-14T13:00:00+00:00, 2024-03-14T13:30:00+00:00
0.11200000000000000000, 2024-03-14T13:30:00+00:00, 2024-03-14T14:00:00+00:00
0.11400000000000000000, 2024-03-14T14:00:00+00:00, 2024-03-14T14:30:00+00:00
0.13300000000000000000, 2024-03-14T14:30:00+00:00, 2024-03-14T15:00:00+00:00
0.09900000000000000000, 2024-03-14T15:00:00+00:00, 2024-03-14T15:30:00+00:00
0.12400000000000000000, 2024-03-14T15:30:00+00:00, 2024-03-14T16:00:00+00:00
0.10200000000000000000, 2024-03-14T16:00:00+00:00, 2024-03-14T16:30:00+00:00
0.03200000000000000000, 2024-03-14T16:30:00+00:00, 2024-03-14T17:00:00+00:00
0.11000000000000000000, 2024-03-14T17:00:00+00:00, 2024-03-14T17:30:00+00:00
0.06300000000000000000, 2024-03-14T17:30:00+00:00, 2024-03-14T18:00:00+00:00
0.05000000000000000000, 2024-03-14T18:00:00+00:00, 2024-03-14T18:30:00+00:00
0.07000000000000000000, 2024-03-14T18:30:00+00:00, 2024-03-14T19:00:00+00:00
0.03600000000000000000, 2024-03-14T19:00:00+00:00, 2024-03-14T19:30:00+00:00
0.05900000000000000000, 2024-03-14T19:30:00+00:00, 2024-03-14T20:00:00+00:00
0.05800000000000000000, 2024-03-14T20:00:00+00:00, 2024-03-14T20:30:00+00:00
0.03600000000000000000, 2024-03-14T20:30:00+00:00, 2024-03-14T21:00:00+00:00
0.23900000000000000000, 2024-03-14T21:00:00+00:00, 2024-03-14T21:30:00+00:00
0.05200000000000000000, 2024-03-14T21:30:00+00:00, 2024-03-14T22:00:00+00:00
0.05600000000000000000, 2024-03-14T22:00:00+00:00, 2024-03-14T22:30:00+00:00
0.06300000000000000000, 2024-03-14T22:30:00+00:00, 2024-03-14T23:00:00+00:00
0.05300000000000000000, 2024-03-14T23:00:00+00:00, 2024-03-14T23:30:00+00:00
0.07400000000000000000, 2024-03-14T23:30:00+00:00, 2024-03-15T00:00:00+00:00
0.04400000000000000000, 2024-03-15T00:00:00+00:00, 2024-03-15T00:30:00+00:00
0.03900000000000000000, 2024-03-15T00:30:00+00:00, 2024-03-15T01:00:00+00:00
0.06300000000000000000, 2024-03-15T01:00:00+00:00, 2024-03-15T01:30:00+00:00
0.02700000000000000000, 2024-03-15T01:30:00+00:00, 2024-03-15T02:00:00+00:00
0.05600000000000000000, 2024-03-15T02:00:00+00:00, 2024-03-15T02:30:00+00:00
0.04800000000000000000, 2024-03-15T02:30:00+00:00, 2024-03-15T03:00:00+00:00
0.03400000000000000000, 2024-03-15T03:00:00+00:00, 2024-03-15T03:30:00+00:00
0.06300000000000000000, 2024-03-15T03:30:00+00:00, 2024-03-15T04:00:00+00:00
0.03100000000000000000, 2024-03-15T04:00:00+00:00, 2024-03-15T04:30:00+00:00
0.05100000000000000000, 2024-03-15T04:30:00+00:00, 2024-03-15T05:00:00+00:00
0.05200000000000000000, 2024-03-15T05:00:00+00:00, 2024-03-15T05:30:00+00:00
0.02800000000000000000, 2024-03-15T05:30:00+00:00, 2024-03-15T06:00:00+00:00
0.06500000000000000000, 2024-03-15T06:00:00+00:00, 2024-03-15T06:30:00+00:00
0.03600000000000000000, 2024-03-15T06:30:00+00:00, 2024-03-15T07:00:00+00:00
0.04700000000000000000, 2024-03-15T07:00:00+00:00, 2024-03-15T07:30:00+00:00
0.10200000000000000000, 2024-03-15T07:30:00+00:00, 2024-03-15T08:00:00+00:00
0.06600000000000000000, 2024-03-15T08:00:00+00:00, 2024-03-15T08:30:00+00:00
0.19800000000000000000, 2024-03-15T08:30:00+00:00, 2024-03-15T09:00:00+00:00
0.76900000000000000000, 2024-03-15T09:00:00+00:00, 2024-03-15T09:30:00+00:00
0.22800000000000000000, 2024-03-15T09:30:00+00:00, 2024-03-15T10:00:00+00:00
0.15000000000000000000, 2024-03-15T10:00:00+00:00, 2024-03-15T10:30:00+00:00
0.11400000000000000000, 2024-03-15T10:30:00+00:00, 2024-03-15T11:00:00+00:00
0.16400000000000000000, 2024-03-15T11:00:00+00:00, 2024-03-15T11:30:00+00:00
0.12300000000000000000, 2024-03-15T11:30:00+00:00, 2024-03-15T12:00:00+00:00
0.05000000000000000000, 2024-03-15T12:00:00+00:00, 2024-03-15T12:30:00+00:00
0.08200000000000000000, 2024-03-15T12:30:00+00:00, 2024-03-15T13:00:00+00:00
0.15700000000000000000, 2024-03-15T13:00:00+00:00, 2024-03-15T13:30:00+00:00
0.13400000000000000000, 2024-03-15T13:30:00+00:00, 2024-03-15T14:00:00+00:00
0.35200000000000000000, 2024-03-15T14:00:00+00:00, 2024-03-15T14:30:00+00:00
0.41600000000000000000, 2024-03-15T14:30:00+00:00, 2024-03-15T15:00:00+00:00
0.26700000000000000000, 2024-03-15T15:00:00+00:00, 2024-03-15T15:30:00+00:00
0.13200000000000000000, 2024-03-15T15:30:00+00:00, 2024-03-15T16:00:00+00:00
0.09800000000000000000, 2024-03-15T16:00:00+00:00, 2024-03-15T16:30:00+00:00
0.13400000000000000000, 2024-03-15T16:30:00+00:00, 2024-03-15T17:00:00+00:00
0.11700000000000000000, 2024-03-15T17:00:00+00:00, 2024-03-15T17:30:00+00:00
0.10500000000000000000, 2024-03-15T17:30:00+00:00, 2024-03-15T18:00:00+00:00
0.13800000000000000000, 2024-03-15T18:00:00+00:00, 2024-03-15T18:30:00+00:00
0.73800000000000000000, 2024-03-15T18:30:00+00:00, 2024-03-15T19:00:00+00:00
0.08000000000000000000, 2024-03-15T19:00:00+00:00, 2024-03-15T19:30:00+00:00
0.06000000000000000000, 2024-03-15T19:30:00+00:00, 2024-03-15T20:00:00+00:00
0.03500000000000000000, 2024-03-15T20:00:00+00:00, 2024-03-15T20:30:00+00:00
0.07000000000000000000, 2024-03-15T20:30:00+00:00, 2024-03-15T21:00:00+00:00
0.04300000000000000000, 2024-03-15T21:00:00+00:00, 2024-03-15T21:30:00+00:00
0.05200000000000000000, 2024-03-15T21:30:00+00:00, 2024-03-15T22:00:00+00:00
0.25600000000000000000, 2024-03-15T22:00:00+00:00, 2024-03-15T22:30:00+00:00
0.08900000000000000000, 2024-03-15T22:30:00+00:00, 2024-03-15T23:00:00+00:00
0.04600000000000000000, 2024-03-15T23:00:00+00:00, 2024-03-15T23:30:00+00:00
0.08100000000000000000, 2024-03-15T23:30:00+00:00, 2024-03-16T00:00:00+00:00
0.05500000000000000000, 2024-03-16T00:00:00+00:00, 2024-03-16T00:30:00+00:00
0.03500000000000000000, 2024-03-16T00:30:00+00:00, 2024-03-16T01:00:00+00:00
0.06300000000000000000, 2024-03-16T01:00:00+00:00, 2024-03-16T01:30:00+00:00
0.03500000000000000000, 2024-03-16T01:30:00+00:00, 2024-03-16T02:00:00+00:00
0.04700000000000000000, 2024-03-16T02:00:00+00:00, 2024-03-16T02:30:00+00:00
0.05700000000000000000, 2024-03-16T02:30:00+00:00, 2024-03-16T03:00:00+00:00
0.02500000000000000000, 2024-03-16T03:00:00+00:00, 2024-03-16T03:30:00+00:00
0.06300000000000000000, 2024-03-16T03:30:00+00:00, 2024-03-16T04:00:00+00:00
0.03800000000000000000, 2024-03-16T04:00:00+00:00, 2024-03-16T04:30:00+00:00
0.04400000000000000000, 2024-03-16T04:30:00+00:00, 2024-03-16T05:00:00+00:00
0.05400000000000000000, 2024-03-16T05:00:00+00:00, 2024-03-16T05:30:00+00:00
0.02500000000000000000, 2024-03-16T05:30:00+00:00, 2024-03-16T06:00:00+00:00
0.06900000000000000000, 2024-03-16T06:00:00+00:00, 2024-03-16T06:30:00+00:00
0.04500000000000000000, 2024-03-16T06:30:00+00:00, 2024-03-16T07:00:00+00:00
0.05600000000000000000, 2024-03-16T07:00:00+00:00, 2024-03-16T07:30:00+00:00
0.06000000000000000000, 2024-03-16T07:30:00+00:00, 2024-03-16T08:00:00+00:00
0.03300000000000000000, 2024-03-16T08:00:00+00:00, 2024-03-16T08:30:00+00:00
0.11000000000000000000, 2024-03-16T08:30:00+00:00, 2024-03-16T09:00:00+00:00
0.07300000000000000000, 2024-03-16T09:00:00+00:00, 2024-03-16T09:30:00+00:00
0.05500000000000000000, 2024-03-16T09:30:00+00:00, 2024-03-16T10:00:00+00:00
0.19900000000000000000, 2024-03-16T10:00:00+00:00, 2024-03-16T10:30:00+00:00
0.11000000000000000000, 2024-03-16T10:30:00+00:00, 2024-03-16T11:00:00+00:00
0.22300000000000000000, 2024-03-16T11:00:00+00:00, 2024-03-16T11:30:00+00:00
0.16100000000000000000, 2024-03-16T11:30:00+00:00, 2024-03-16T12:00:00+00:00
0.09900000000000000000, 2024-03-16T12:00:00+00:00, 2024-03-16T12:30:00+00:00
0.10700000000000000000, 2024-03-16T12:30:00+00:00, 2024-03-16T13:00:00+00:00
0.15200000000000000000, 2024-03-16T13:00:00+00:00, 2024-03-16T13:30:00+00:00
0.09000000000000000000, 2024-03-16T13:30:00+00:00, 2024-03-16T14:00:00+00:00
0.05200000000000000000, 2024-03-16T14:00:00+00:00, 2024-03-16T14:30:00+00:00
0.04000000000000000000, 2024-03-16T14:30:00+00:00, 2024-03-16T15:00:00+00:00
0.06600000000000000000, 2024-03-16T15:00:00+00:00, 2024-03-16T15:30:00+00:00
0.03800000000000000000, 2024-03-16T15:30:00+00:00, 2024-03-16T16:00:00+00:00
0.04300000000000000000, 2024-03-16T16:00:00+00:00, 2024-03-16T16:30:00+00:00
0.10900000000000000000, 2024-03-16T16:30:00+00:00, 2024-03-16T17:00:00+00:00
0.23100000000000000000, 2024-03-16T17:00:00+00:00, 2024-03-16T17:30:00+00:00
0.13600000000000000000, 2024-03-16T17:30:00+00:00, 2024-03-16T18:00:00+00:00
0.13800000000000000000, 2024-03-16T18:00:00+00:00, 2024-03-16T18:30:00+00:00
0.13500000000000000000, 2024-03-16T18:30:00+00:00, 2024-03-16T19:00:00+00:00
0.40100000000000000000, 2024-03-16T19:00:00+00:00, 2024-03-16T19:30:00+00:00
0.69400000000000000000, 2024-03-16T19:30:00+00:00, 2024-03-16T20:00:00+00:00
0.13000000000000000000, 2024-03-16T20:00:00+00:00, 2024-03-16T20:30:00+00:00
0.16000000000000000000, 2024-03-16T20:30:00+00:00, 2024-03-16T21:00:00+00:00
0.16100000000000000000, 2024-03-16T21:00:00+00:00, 2024-03-16T21:30:00+00:00
0.12400000000000000000, 2024-03-16T21:30:00+00:00, 2024-03-16T22:00:00+00:00
0.08500000000000000000, 2024-03-16T22:00:00+00:00, 2024-03-16T22:30:00+00:00
0.11600000000000000000, 2024-03-16T22:30:00+00:00, 2024-03-16T23:00:00+00:00
0.05800000000000000000, 2024-03-16T23:00:00+00:00, 2024-03-16T23:30:00+00:00
0.06800000000000000000, 2024-03-16T23:30:00+00:00, 2024-03-17T00:00:00+00:00
0.06200000000000000000, 2024-03-17T00:00:00+00:00, 2024-03-17T00:30:00+00:00
0.03100000000000000000, 2024-03-17T00:30:00+00:00, 2024-03-17T01:00:00+00:00
0.06900000000000000000, 2024-03-17T01:00:00+00:00, 2024-03-17T01:30:00+00:00
0.10400000000000000000, 2024-03-17T01:30:00+00:00, 2024-03-17T02:00:00+00:00
0.57900000000000000000, 2024-03-17T02:00:00+00:00, 2024-03-17T02:30:00+00:00
0.35000000000000000000, 2024-03-17T02:30:00+00:00, 2024-03-17T03:00:00+00:00
0.36400000000000000000, 2024-03-17T03:00:00+00:00, 2024-03-17T03:30:00+00:00
0.05300000000000000000, 2024-03-17T03:30:00+00:00, 2024-03-17T04:00:00+00:00
0.05900000000000000000, 2024-03-17T04:00:00+00:00, 2024-03-17T04:30:00+00:00
0.03000000000000000000, 2024-03-17T04:30:00+00:00, 2024-03-17T05:00:00+00:00
0.06500000000000000000, 2024-03-17T05:00:00+00:00, 2024-03-17T05:30:00+00:00
0.03800000000000000000, 2024-03-17T05:30:00+00:00, 2024-03-17T06:00:00+00:00
0.04500000000000000000, 2024-03-17T06:00:00+00:00, 2024-03-17T06:30:00+00:00
0.05900000000000000000, 2024-03-17T06:30:00+00:00, 2024-03-17T07:00:00+00:00
0.02500000000000000000, 2024-03-17T07:00:00+00:00, 2024-03-17T07:30:00+00:00
0.06500000000000000000, 2024-03-17T07:30:00+00:00, 2024-03-17T08:00:00+00:00
0.04300000000000000000, 2024-03-17T08:00:00+00:00, 2024-03-17T08:30:00+00:00
0.08600000000000000000, 2024-03-17T08:30:00+00:00, 2024-03-17T09:00:00+00:00
0.09600000000000000000, 2024-03-17T09:00:00+00:00, 2024-03-17T09:30:00+00:00
0.14600000000000000000, 2024-03-17T09:30:00+00:00, 2024-03-17T10:00:00+00:00
0.29600000000000000000, 2024-03-17T10:00:00+00:00, 2024-03-17T10:30:00+00:00
0.40700000000000000000, 2024-03-17T10:30:00+00:00, 2024-03-17T11:00:00+00:00
0.39700000000000000000, 2024-03-17T11:00:00+00:00, 2024-03-17T11:30:00+00:00
0.20400000000000000000, 2024-03-17T11:30:00+00:00, 2024-03-17T12:00:00+00:00
0.10900000000000000000, 2024-03-17T12:00:00+00:00, 2024-03-17T12:30:00+00:00
0.12100000000000000000, 2024-03-17T12:30:00+00:00, 2024-03-17T13:00:00+00:00
0.18400000000000000000, 2024-03-17T13:00:00+00:00, 2024-03-17T13:30:00+00:00
0.20800000000000000000, 2024-03-17T13:30:00+00:00, 2024-03-17T14:00:00+00:00
0.11200000000000000000, 2024-03-17T14:00:00+00:00, 2024-03-17T14:30:00+00:00
0.13600000000000000000, 2024-03-17T14:30:00+00:00, 2024-03-17T15:00:00+00:00
0.10700000000000000000, 2024-03-17T15:00:00+00:00, 2024-03-17T15:30:00+00:00
0.12200000000000000000, 2024-03-17T15:30:00+00:00, 2024-03-17T16:00:00+00:00
0.27700000000000000000, 2024-03-17T16:00:00+00:00, 2024-03-17T16:30:00+00:00
0.09700000000000000000, 2024-03-17T16:30:00+00:00, 2024-03-17T17:00:00+00:00
0.14200000000000000000, 2024-03-17T17:00:00+00:00, 2024-03-17T17:30:00+00:00
0.13300000000000000000, 2024-03-17T17:30:00+00:00, 2024-03-17T18:00:00+00:00
0.48300000000000000000, 2024-03-17T18:00:00+00:00, 2024-03-17T18:30:00+00:00
0.51900000000000000000, 2024-03-17T18:30:00+00:00, 2024-03-17T19:00:00+00:00
0.37400000000000000000, 2024-03-17T19:00:00+00:00, 2024-03-17T19:30:00+00:00
0.13600000000000000000, 2024-03-17T19:30:00+00:00, 2024-03-17T20:00:00+00:00
0.15300000000000000000, 2024-03-17T20:00:00+00:00, 2024-03-17T20:30:00+00:00
0.11500000000000000000, 2024-03-17T20:30:00+00:00, 2024-03-17T21:00:00+00:00
0.14900000000000000000, 2024-03-17T21:00:00+00:00, 2024-03-17T21:30:00+00:00
0.15000000000000000000, 2024-03-17T21:30:00+00:00, 2024-03-17T22:00:00+00:00
0.12200000000000000000, 2024-03-17T22:00:00+00:00, 2024-03-17T22:30:00+00:00
0.12900000000000000000, 2024-03-17T22:30:00+00:00, 2024-03-17T23:00:00+00:00
0.08900000000000000000, 2024-03-17T23:00:00+00:00, 2024-03-17T23:30:00+00:00
0.04500000000000000000, 2024-03-17T23:30:00+00:00, 2024-03-18T00:00:00+00:00
0.05200000000000000000, 2024-03-18T00:00:00+00:00, 2024-03-18T00:30:00+00:00
0.06300000000000000000, 2024-03-18T00:30:00+00:00, 2024-03-18T01:00:00+00:00
0.04800000000000000000, 2024-03-18T01:00:00+00:00, 2024-03-18T01:30:00+00:00
0.03500000000000000000, 2024-03-18T01:30:00+00:00, 2024-03-18T02:00:00+00:00
0.06100000000000000000, 2024-03-18T02:00:00+00:00, 2024-03-18T02:30:00+00:00
0.05400000000000000000, 2024-03-18T02:30:00+00:00, 2024-03-18T03:00:00+00:00
0.03000000000000000000, 2024-03-18T03:00:00+00:00, 2024-03-18T03:30:00+00:00
0.06400000000000000000, 2024-03-18T03:30:00+00:00, 2024-03-18T04:00:00+00:00
0.05000000000000000000, 2024-03-18T04:00:00+00:00, 2024-03-18T04:30:00+00:00
0.02800000000000000000, 2024-03-18T04:30:00+00:00, 2024-03-18T05:00:00+00:00
0.06500000000000000000, 2024-03-18T05:00:00+00:00, 2024-03-18T05:30:00+00:00
0.05300000000000000000, 2024-03-18T05:30:00+00:00, 2024-03-18T06:00:00+00:00
0.02900000000000000000, 2024-03-18T06:00:00+00:00, 2024-03-18T06:30:00+00:00
0.06300000000000000000, 2024-03-18T06:30:00+00:00, 2024-03-18T07:00:00+00:00
0.04500000000000000000, 2024-03-18T07:00:00+00:00, 2024-03-18T07:30:00+00:00
0.08400000000000000000, 2024-03-18T07:30:00+00:00, 2024-03-18T08:00:00+00:00
0.10500000000000000000, 2024-03-18T08:00:00+00:00, 2024-03-18T08:30:00+00:00
0.06200000000000000000, 2024-03-18T08:30:00+00:00, 2024-03-18T09:00:00+00:00
0.36700000000000000000, 2024-03-18T09:00:00+00:00, 2024-03-18T09:30:00+00:00
0.09400000000000000000, 2024-03-18T09:30:00+00:00, 2024-03-18T10:00:00+00:00
0.09100000000000000000, 2024-03-18T10:00:00+00:00, 2024-03-18T10:30:00+00:00
0.28000000000000000000, 2024-03-18T10:30:00+00:00, 2024-03-18T11:00:00+00:00
0.08600000000000000000, 2024-03-18T11:00:00+00:00, 2024-03-18T11:30:00+00:00
0.04900000000000000000, 2024-03-18T11:30:00+00:00, 2024-03-18T12:00:00+00:00
0.40200000000000000000, 2024-03-18T12:00:00+00:00, 2024-03-18T12:30:00+00:00
0.48600000000000000000, 2024-03-18T12:30:00+00:00, 2024-03-18T13:00:00+00:00
0.06700000000000000000, 2024-03-18T13:00:00+00:00, 2024-03-18T13:30:00+00:00
0.18500000000000000000, 2024-03-18T13:30:00+00:00, 2024-03-18T14:00:00+00:00
0.08500000000000000000, 2024-03-18T14:00:00+00:00, 2024-03-18T14:30:00+00:00
0.16600000000000000000, 2024-03-18T14:30:00+00:00, 2024-03-18T15:00:00+00:00
0.15700000000000000000, 2024-03-18T15:00:00+00:00, 2024-03-18T15:30:00+00:00
0.17400000000000000000, 2024-03-18T15:30:00+00:00, 2024-03-18T16:00:00+00:00
0.15400000000000000000, 2024-03-18T16:00:00+00:00, 2024-03-18T16:30:00+00:00
0.08600000000000000000, 2024-03-18T16:30:00+00:00, 2024-03-18T17:00:00+00:00
0.06300000000000000000, 2024-03-18T17:00:00+00:00, 2024-03-18T17:30:00+00:00
0.03500000000000000000, 2024-03-18T17:30:00+00:00, 2024-03-18T18:00:00+00:00
0.48400000000000000000, 2024-03-18T18:00:00+00:00, 2024-03-18T18:30:00+00:00
0.37600000000000000000, 2024-03-18T18:30:00+00:00, 2024-03-18T19:00:00+00:00
0.37100000000000000000, 2024-03-18T19:00:00+00:00, 2024-03-18T19:30:00+00:00
0.15700000000000000000, 2024-03-18T19:30:00+00:00, 2024-03-18T20:00:00+00:00
0.13500000000000000000, 2024-03-18T20:00:00+00:00, 2024-03-18T20:30:00+00:00
0.13300000000000000000, 2024-03-18T20:30:00+00:00, 2024-03-18T21:00:00+00:00
0.16100000000000000000, 2024-03-18T21:00:00+00:00, 2024-03-18T21:30:00+00:00
0.13400000000000000000, 2024-03-18T21:30:00+00:00, 2024-03-18T22:00:00+00:00
0.14200000000000000000, 2024-03-18T22:00:00+00:00, 2024-03-18T22:30:00+00:00
0.63000000000000000000, 2024-03-18T22:30:00+00:00, 2024-03-18T23:00:00+00:00
0.11600000000000000000, 2024-03-18T23:00:00+00:00, 2024-03-18T23:30:00+00:00
